URL,Rule,Violation description,Volation Type,Impact,LEVEL,HTML Element,Messages,DOM Element
https://www.equinix.com/,Certain ARIA roles must be contained by particular parents,Ensure elements with an ARIA role that require parent roles are contained by them,aria-required-parent,critical,wcag2a,<a class="nav-link " data-toggle="pill" href="#tab-pfeBU80" role="tab" aria-controls="tab-pfeBU80" aria-selected="true">,Required ARIA parent role not present: tablist,a[href$="#tab-pfeBU80"]
https://www.equinix.com/,Certain ARIA roles must be contained by particular parents,Ensure elements with an ARIA role that require parent roles are contained by them,aria-required-parent,critical,wcag2a,<a class="nav-link active" data-toggle="pill" href="#tab-nCJIfeP" role="tab" aria-controls="tab-nCJIfeP" aria-selected="true">,Required ARIA parent role not present: tablist,a[href$="#tab-nCJIfeP"]
https://www.equinix.com/,Headings should not be empty,Ensure headings have discernible text,empty-heading,minor,best-practice,<h5 class="hero-banner-pre-header text-uppercase"></h5>,Element does not have text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty--Element has no title attribute,.hero-banner-item-content.fade-on.fade-from-bottom > .hero-banner-pre-header
https://www.equinix.com/,Certain ARIA roles must contain particular children,Ensure elements with an ARIA role that require child roles contain them,aria-required-children,critical,wcag2a,<ul class="nav" role="tablist">,Element has children which are not allowed: li[tabindex],.nav
https://www.equinix.com/,Certain ARIA roles must be contained by particular parents,Ensure elements with an ARIA role that require parent roles are contained by them,aria-required-parent,critical,wcag2a,<a class="nav-link " data-toggle="pill" href="#tab-LZXpHIg" role="tab" aria-controls="tab-LZXpHIg" aria-selected="true">,Required ARIA parent role not present: tablist,a[href$="#tab-LZXpHIg"]
https://www.equinix.com/,Heading levels should only increase by one,Ensure the order of headings is semantically correct,heading-order,moderate,best-practice,<h4>High performance data center</h4>,Heading order invalid,a[href$="#tab-nCJIfeP"] > .nav-link-body > h4
https://www.equinix.com/,Heading levels should only increase by one,Ensure the order of headings is semantically correct,heading-order,moderate,best-practice,<h5 class="hero-banner-pre-header text-uppercase"></h5>,Heading order invalid,.banner-alignment__center__center > .hero-banner-item[role="group"][aria-label="Hero Banner Item"] > .hero-banner-item-content > .hero-banner-pre-header
https://www.equinix.com/,Images must have alternative text,Ensure <img> elements have alternative text or a role of none or presentation,image-alt,critical,wcag2a,<img src="https://equinix.my.site.com/EquinixSIT/resource/LiveChatSalesIcon" width="24">,Element does not have an alt attribute--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty--Element has no title attribute--Element's default semantics were not overridden with role="none" or role="presentation",.chatImage > img[width="24"]
https://www.equinix.com/,Heading levels should only increase by one,Ensure the order of headings is semantically correct,heading-order,moderate,best-practice,<h3 style="text-align: center;" class="pt-9"><span class="eq-display-sm"><span class="text-gray-500"><b>Grow your business with our partners</b></span></span></h3>,Heading order invalid,.pt-9
https://www.equinix.com/,Headings should not be empty,Ensure headings have discernible text,empty-heading,minor,best-practice,<h5 class="hero-banner-pre-header text-uppercase"></h5>,Element does not have text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty--Element has no title attribute,.banner-alignment__center__center > .hero-banner-item[role="group"][aria-label="Hero Banner Item"] > .hero-banner-item-content > .hero-banner-pre-header
